site,dataset,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009
BLUE_2019-07-09,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2019-10-09,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2019-10-09,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2021-04-01,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2021-07-01,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2021-10-14,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
CARI_2019-05-13,neon,0,0,0,0,2.041183073,2.92306228
COMO_2017-08-30,neon,0,0.103448276,0,0,6.153656117,6.254641321
CUPE_2016-06-22,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2017-01-25,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2017-06-28,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2017-11-14,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2018-01-23,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2019-01-22,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2019-06-18,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2021-01-25,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
GUIL_2016-02-02,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2017-01-31,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2017-06-21,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2018-01-30,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2018-07-03,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2018-11-13,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2019-01-28,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2020-02-26,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2020-11-18,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2021-02-03,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2021-06-29,neon,6.567901235,0,0,0,22.56625866,15.21440683
HOPB_2017-07-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2017-10-03,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2018-07-09,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-06-22,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-07-14,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2021-07-28,neon,0,0,0,0,6.519451721,6.799736751
KING_2016-10-05,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2017-07-14,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2017-07-14,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-07-12,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-07-12,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-10-01,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-06-03,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-07-20,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-07-20,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-09-29,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
LECO_2018-07-23,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-03-26,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-03-26,neon,0,0,0,0,13.81752252,12.56686977
LECO_2020-06-09,neon,0,0,0,0,13.81752252,12.56686977
LECO_2020-07-14,neon,0,0,0,0,13.81752252,12.56686977
LECO_2021-10-18,neon,0,0,0,0,13.81752252,12.56686977
LECO_2016-07-12,neon,0,0,0,0,13.81752252,12.56686977
LEWI_2017-03-24,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
